SO	Freq	FI
CONSERVATION BIOLOGY	1	7.563
CONSERVATION GENETICS	1	3.092
CONSTRUCTION AND BUILDING MATERIALS	1	7.693
CURRENT ANTHROPOLOGY	1	3.226
CURRENT PHARMACEUTICAL DESIGN	1	3.31
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS	1	3.101
DISCRETE DYNAMICS IN NATURE AND SOCIETY	1	1.457
DIVERSITY-BASEL	1	3.029
EARTH AND PLANETARY SCIENCE LETTERS	1	5.785
EARTH SURFACE PROCESSES AND LANDFORMS	1	3.956
ECOLOGICAL ECONOMICS	1	6.536
ECOLOGY	1	4.700
ECOSPHERE	1	3.593
EDUCATION POLICY ANALYSIS ARCHIVES	1	0.471
ELECTRONIC MATERIALS LETTERS	1	3.151
ENVIRONMENTAL BIOLOGY OF FISHES	1	1.798
ENVIRONMENTAL DEVELOPMENT	1	4.69
ENVIRONMENTAL REVIEWS	1	5.547
ENVIRONMENTAL SCIENCE-ATMOSPHERES	1	0.9
ENVIRONMENTAL SCIENCE & POLICY	1	6.424
ENVIRONMENTAL TECHNOLOGY	1	3.475
ENVIRONMENTAL TECHNOLOGY & INNOVATION	1	7.758
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	1	4.218
ETHNOBIOLOGY LETTERS	1	1.3
EUROPEAN JOURNAL OF PHARMACOLOGY	1	5.195
EXPERIMENTAL BRAIN RESEARCH	1	2.064
FEMS MICROBIOLOGY ECOLOGY	1	4.519
FOREST ECOLOGY AND MANAGEMENT	1	4.384
FRESHWATER BIOLOGY	1	3.538
FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY	1	6.064
FRONTIERS IN CHEMISTRY	1	5.545
FRONTIERS IN ECOLOGY AND EVOLUTION	1	4.496
FRONTIERS IN PSYCHOLOGY	1	4.232
FUEL	1	6.609
GELS	1	4.702
GENE	1	3.913
GENES	1	4.141
GENETICS AND MOLECULAR BIOLOGY	1	2.087
GENOME BIOLOGY AND EVOLUTION	1	18.010
GENOMICS	1	4.31
GEOMORPHOLOGY	1	4.406
GESTAO E DESENVOLVIMENTO	1	0.129
GLOBAL AND PLANETARY CHANGE	1	4.956
GLOBAL ECOLOGY AND BIOGEOGRAPHY	1	6.909
HELGOLAND MARINE RESEARCH	1	2.217
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS	1	4.102
IHERINGIA SERIE ZOOLOGIA	1	0.742
IJC HEART & VASCULATURE	1	0.803
IN VIVO	1	2.406
INDIAN JOURNAL OF PURE & APPLIED PHYSICS	1	0.846
INDUSTRIAL CROPS AND PRODUCTS	1	6.449
INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT	1	3.084
INTERNATIONAL JOURNAL OF CHEMICAL ENGINEERING	1	2.729
INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY	1	2.793
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY	1	7.139
INTERNATIONAL JOURNAL OF MARKETING COMMUNICATION AND NEW MEDIA	1	0.904
INVERTEBRATE BIOLOGY	1	0.949
IONICS	1	2.961
ISME JOURNAL	1	11.217
JOURNAL FOR NATURE CONSERVATION	1	2.575
JOURNAL OF APPLIED AQUACULTURE	1	0.346
JOURNAL OF APPLIED ECOLOGY	1	6.869
JOURNAL OF APPLIED POLYMER SCIENCE	1	3.057
JOURNAL OF BIOGEOGRAPHY	1	4.81
JOURNAL OF BIOTECHNOLOGY	1	3.595
JOURNAL OF CHEMISTRY	1	2.92
JOURNAL OF CLEANER PRODUCTION	1	11.072
JOURNAL OF CO2 UTILIZATION	1	8.321
JOURNAL OF COASTAL CONSERVATION	1	2.170
JOURNAL OF CULTURAL HERITAGE	1	3.229
JOURNAL OF ELECTROANALYTICAL CHEMISTRY	1	4.598
JOURNAL OF ELECTRONIC MATERIALS	1	2.047
JOURNAL OF ENVIRONMENTAL MONITORING	1	3.307
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING	1	2.316
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES	1	2.506
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION	1	2.368
JOURNAL OF HUMAN EVOLUTION	1	3.895
JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY-JMR&T	1	6.267
JOURNAL OF MATERIALS SCIENCE	1	4.682
JOURNAL OF MATHEMATICAL PHYSICS	1	1.469
JOURNAL OF MOLECULAR LIQUIDS	1	6.633
JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY	1	1.134
JOURNAL OF NATURAL HISTORY	1	0.947
JOURNAL OF NATURAL PRODUCTS	1	4.803
JOURNAL OF NON-CRYSTALLINE SOLIDS	1	4.458
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING	1	5.168
JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY	1	3.228
JOURNAL OF RAMAN SPECTROSCOPY	1	2.727
JOURNAL OF RHEOLOGY	1	4.534
JOURNAL OF SEA RESEARCH	1	2.287
JOURNAL OF SOLID STATE CHEMISTRY	1	2.726
JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY	1	4.755
JOURNAL OF THERMAL STRESSES	1	3.456
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES	1	3.24
KNOWLEDGE-BASED SYSTEMS	1	8.139
LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH	1	1.022
LETHAIA	1	1.598
MAGNETIC RESONANCE IN CHEMISTRY	1	2.392
MANAGEMENT OF BIOLOGICAL INVASIONS	1	2.282
MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE	1	1.733
MATERIALS RESEARCH BULLETIN	1	5.6
MEDICINE AND SCIENCE IN SPORTS AND EXERCISE	1	4.029
MEMBRANES	1	4.562
METALLOMICS	1	4.636
METHODS AND PROTOCOLS	1	2.17
METHODS IN ECOLOGY AND EVOLUTION	1	8.335
MITOCHONDRIAL DNA PART A	1	1.695
MOLECULAR ECOLOGY RESOURCES	1	8.678
MSPHERE	1	5.029
NATURAL PRODUCT COMMUNICATIONS	1	1.496
NATURAL PRODUCT RESEARCH	1	2.488
NATURE	1	69.504
NATURE ECOLOGY & EVOLUTION	1	19.1
NATURE FOOD	1	20.403
OPTICAL ENGINEERING	1	1.352
OPTICS AND LASERS IN ENGINEERING	1	5.666
ORBITAL-THE ELECTRONIC JOURNAL OF CHEMISTRY	1	0.43
PALEOCEANOGRAPHY AND PALEOCLIMATOLOGY	1	3.990
PERSPECTIVES IN ECOLOGY AND CONSERVATION	1	5.652
PHARMACEUTICS	1	6.525
PHYCOLOGICAL RESEARCH	1	1.5
PLANTA MEDICA	1	3.352
POLAR BIOLOGY	1	2.198
PROCEEDINGS OF DINAME 2017	1	0
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	1	12.779
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	1	5.531
PROCESSES	1	3.352
QUATERNARY RESEARCH	1	2.797
RARE METALS	1	6.318
REMOTE SENSING LETTERS	1	2.369
RENEWABLE & SUSTAINABLE ENERGY REVIEWS	1	16.799
REPRODUCTION FERTILITY AND DEVELOPMENT	1	1.723
REPRODUCTIVE SCIENCES	1	2.924
RESOURCES-BASEL	1	4.01
REVIEW OF SCIENTIFIC INSTRUMENTS	1	1.843
REVISTA BRASILEIRA DE PALEONTOLOGIA	1	1.119
REVISTA DA ASSOCIACAO MEDICA BRASILEIRA	1	1.225
REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL	1	1.52
REVISTA VIRTUAL DE QUIMICA	1	0.151
RSC CHEMICAL BIOLOGY	1	2.58
SCIENCE	1	63.832
SCIENTIFIC DATA	1	8.501
SCIENTIFIC WORLD JOURNAL	1	0.398
SEDIMENTARY GEOLOGY	1	3.329
SENSOR LETTERS	1	0.694
SEPARATION AND PURIFICATION TECHNOLOGY	1	9.136
SN APPLIED SCIENCES	1	2.114
SOLAR ENERGY	1	7.188
SOLID STATE SCIENCES	1	3.752
SOUTH AMERICAN JOURNAL OF HERPETOLOGY	1	1.414
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY	1	4.098
STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT	1	1.05
SUSTAINABILITY	1	3.889
SUSTAINABLE CHEMISTRY AND PHARMACY	1	5.464
SYNTHETIC METALS	1	4
SYSTEMATIC BIOLOGY	1	9.16
TOXICOLOGY IN VITRO	1	3.685
TRENDS IN ENVIRONMENTAL ANALYTICAL CHEMISTRY	1	13.622
TRENDS IN MICROBIOLOGY	1	18.23
VACUUM	1	4.11
WASTE MANAGEMENT	1	8.816
WATER INTERNATIONAL	1	3.395
WATER RESOURCES AND ECONOMICS	1	2.848
WEATHER CLIMATE AND SOCIETY	1	3.019
XLI BRAZILIAN MEETING ON NUCLEAR PHYSICS (RTFNB)	1	0
ZOOLOGICAL STUDIES	1	1.257
ZOOLOGISCHER ANZEIGER	1	1.581
